Task,Date,Detail,Amount,Type
Ex-1,2024-09-30 22:50,Meituan,28.00,shopping
Ex-2,2024-09-30 16:43,Beijing All-in-One Card,20.00,living
Ex-3,2024-09-30 13:17,Pianyifang798,266.00,entertainment
Ex-4,2024-09-29 20:37,Heytea,44.00,catering
Ex-5,2024-09-29 10:34,BUPT,8.00,living
Ex-6,2024-09-28 12:38,DMALL,8.50,shopping
Ex-7,2024-09-27 19:12,DMALL,29.15,shopping
Ex-8,2024-09-27 11:58,BUPT,220.00,living
Ex-9,2024-09-26 21:26,Nanmen Hotpot,244.00,catering
Ex-10,2024-09-26 10:56,Meituan,27.90,shopping
Ex-11,2024-09-26 00:02,DMALL,13.80,shopping
Ex-12,2024-09-25 23:54,Jiachen,517.50,living
Ex-13,2024-09-25 18:10,BUPT,36.48,living
Ex-14,2024-09-23 21:25,H World Group Limited,537.00,living
Ex-15,2024-09-21 23:24,DMALL,6.50,shopping
Ex-16,2024-09-21 23:22,Pancakes,19.00,catering
Ex-17,2024-09-21 12:52,Meituan,54.28,catering
Ex-18,2024-09-21 02:01,Jiachen,494.00,living
Ex-19,2024-09-20 23:17,Meituan,16.48,catering
Ex-20,2024-09-20 20:19,Wangye,55.60,entertainment
Ex-21,2024-09-19 20:30,DMALL,4.90,shopping
Ex-22,2024-09-19 13:43,Supermarket,17.00,shopping
Ex-23,2024-09-18 14:39,Supermarket,29.00,shopping
Ex-24,2024-09-16 18:44,DMALL,12.14,shopping
Ex-25,2024-09-16 17:54,Tianbaotang,18.00,catering
Ex-26,2024-09-15 21:17,DMALL,16.84,shopping
Ex-27,2024-09-15 18:09,BUPT,215.00,living
Ex-28,2024-09-15 12:18,Boshiju,23.00,entertainment
Ex-29,2024-09-14 12:15,DMALL,15.00,shopping
Ex-30,2024-09-13 12:14,DMALL,34.90,shopping
Ex-31,2024-09-12 18:44,Jiachen,184.00,shopping
Ex-32,2024-09-10 15:08,DMALL,29.90,shopping
Ex-33,2024-09-08 16:12,Jiachen,207.00,shopping
Ex-34,2024-09-08 16:08,CRNET,8.00,living
Ex-35,2024-09-07 22:57,Beef noodles,14.00,catering
Ex-36,2024-09-06 15:01,Canteen,6.00,catering
Ex-37,2024-09-05 16:47,Xiaojie Tianfu,8.00,catering
Ex-38,2024-09-01 16:40,ICBC,8000.00,income
