Task,Date,Detail,Amount,Type
Ex-1,2024-06-30 21:40,DMALL,63.80,shopping
Ex-2,2024-06-30 17:47,Meituan,25.29,catering
Ex-3,2024-06-30 16:10,Tencent,15.00,entertainment
Ex-4,2024-06-30 08:55,Jiachen,994.00,living
Ex-5,2024-06-27 16:00,Meituan,41.00,catering
Ex-6,2024-06-27 12:43,Beijing Railway Service,60.00,living
Ex-7,2024-06-26 20:17,DMALL,17.00,shopping
Ex-8,2024-06-26 18:33,Meituan,27.10,catering
Ex-9,2024-06-26 17:26,SF Express,15.00,living
Ex-10,2024-06-26 12:14,Boshiju,65.00,living
Ex-11,2024-06-25 13:17,DMALL,16.50,shopping
Ex-12,2024-06-24 18:19,Meituan,21.90,catering
Ex-13,2024-06-24 13:02,DMALL,19.90,shopping
Ex-14,2024-06-23 19:26,DMALL,16.24,shopping
Ex-15,2024-06-22 12:30,BUPT,56.00,living
Ex-16,2024-06-21 17:37,Meituan,22.51,catering
Ex-17,2024-06-19 18:47,DMALL,21.28,shopping
Ex-18,2024-06-17 13:04,BUPT,224.00,living
Ex-19,2024-06-16 18:17,Meituan,26.80,catering
Ex-20,2024-06-16 13:16,DMALL,41.80,shopping
Ex-21,2024-06-16 12:41,BUPT,16.00,living
Ex-22,2024-06-15 18:31,Meituan,47.80,catering
Ex-23,2024-06-14 18:44,Fruit shop,6.00,shopping
Ex-24,2024-06-14 09:48,DMALL,33.90,shopping
Ex-25,2024-06-13 12:33,Jiachen,38.00,living
Ex-26,2024-06-13 10:19,BUPT,16.00,null
Ex-27,2024-06-12 13:19,DMALL,24.90,shopping
Ex-28,2024-06-10 11:35,Meituan,26.50,catering
Ex-29,2024-06-09 12:19,Fruit shop,28.30,shopping
Ex-30,2024-06-08 23:33,DMALL,16.90,shopping
Ex-31,2024-06-07 19:28,Meituan,64.78,catering
Ex-32,2024-06-06 13:32,Fruit shop,8.90,shopping
Ex-33,2024-06-05 19:07,Jiayi,67.60,shopping
Ex-34,2024-06-04 11:57,Fenbitianxia,29.00,living
Ex-35,2024-06-03 13:38,Fenbitianxia,6.30,living
Ex-36,2024-06-02 17:59,Fruit shop,33.40,shopping
Ex-37,2024-06-02 17:31,BUPT,326.00,living
Ex-38,2024-06-01 23:45,Meituan,17.60,catering
Ex-39,2024-06-01 15:50,Jiachen,83.00,shopping
Ex-40,2024-06-01 08:40,ICBC,8000.00,income
