Task,Date,Detail,Amount,Type
Ex-1,2024-04-29 17:29,Tencent,15.00,entertainment
Ex-2,2024-04-25 12:43,BUPT,200.00,living
Ex-3,2024-04-24 19:15,Jiangutou,26.00,shopping
Ex-4,2024-04-23 11:53,McDonald's,13.90,catering
Ex-5,2024-04-21 17:03,YC,135.00,living
Ex-6,2024-04-21 12:10,Meituan,28.98,shopping
Ex-7,2024-04-20 23:05,Jiachen,68.00,shopping
Ex-8,2024-04-20 11:53,Beef noodles,22.00,catering
Ex-9,2024-04-19 20:04,Meituan,32.40,shopping
Ex-10,2024-04-18 12:20,BUPT,34.00,living
Ex-11,2024-04-17 23:04,Meituan,24.98,shopping
Ex-12,2024-04-15 18:40,Fruit shop,13.00,shopping
Ex-13,2024-04-14 23:14,DMALL,13.90,shopping
Ex-14,2024-04-14 20:32,Gzz,40.00,entertainment
Ex-15,2024-04-14 13:03,DMALL,19.90,shopping
Ex-16,2024-04-13 18:47,Sheep Soup House,20.00,catering
Ex-17,2024-04-13 13:29,Missa Ice City,10.00,catering
Ex-18,2024-04-13 13:10,Jiangutou,26.00,catering
Ex-19,2024-04-11 23:15,DMALL,65.00,shopping
Ex-20,2024-04-11 11:54,BUPT,224.00,living
Ex-21,2024-04-10 23:04,DMALL,17.90,shopping
Ex-22,2024-04-10 21:52,KFC,43.60,catering
Ex-23,2024-04-10 19:09,Meituan,75.80,living
Ex-24,2024-04-10 14:29,Lama temple,12.00,entertainment
Ex-25,2024-04-10 13:52,Fried noodles,25.00,catering
Ex-26,2024-04-10 13:17,Dahuange,11.00,living
Ex-27,2024-04-07 16:49,Meituan,28.20,living
Ex-28,2024-04-07 10:37,Beef noodles,15.00,catering
Ex-29,2024-04-06 12:43,Wonton House,18.00,catering
Ex-30,2024-04-04 11:38,Capcut,30.00,entertainment
Ex-31,2024-04-02 18:51,DMALL,14.80,shopping
Ex-32,2024-04-02 18:49,Luxihe,44.64,living
Ex-33,2024-04-02 14:27,BUPT,100.00,living
Ex-34,2024-04-01 18:11,DMALL,13.80,shopping
Ex-35,2024-04-01 17:50,BUPT,18.00,living
Ex-36,2024-04-01 11:18,Mouthful pancakes,12.00,catering
Ex-37,2024-04-01 08:40,ICBC,8000.00,income
