Task,Date,Detail,Amount,Type
Ex-1,2024-08-31 15:52,Tencent,15.00,entertainment
Ex-2,2024-08-26 19:42,Meat buns,8.00,catering
Ex-3,2024-08-26 19:11,Oily noodles,14.90,catering
Ex-4,2024-08-26 01:23,STAYREAL,229.00,shopping
Ex-5,2024-08-25 18:06,KSAMIYA,100.00,shopping
Ex-6,2024-08-25 11:44,PDD,9.99,shopping
Ex-7,2024-08-22 10:07,Soup dumplings,6.50,catering
Ex-8,2024-08-20 08:59,Beef broth,15.00,catering
Ex-9,2024-08-19 12:27,Aviation restaurant supermarket,3.00,living
Ex-10,2024-08-18 08:20,Tofu soup,7.00,catering
Ex-11,2024-08-17 14:39,Meituan,19.90,catering
Ex-12,2024-08-15 11:44,PDD,9.90,shopping
Ex-13,2024-08-15 11:44,PDD,69.29,shopping
Ex-14,2024-08-14 21:04,Meituan,23.78,catering
Ex-15,2024-08-14 16:52,Master Bao,42.00,catering
Ex-16,2024-08-13 19:19,Meituan,26.26,catering
Ex-17,2024-08-13 13:41,Morning Glory,22.00,living
Ex-18,2024-08-12 09:55,Tofu soup,7.00,catering
Ex-19,2024-08-10 20:25,Yitian,156.00,entertainment
Ex-20,2024-08-10 14:51,Huayuzhu,3.00,living
Ex-21,2024-08-10 10:12,M,438.00,shopping
Ex-22,2024-08-10 06:27,Tofu soup,7.00,catering
Ex-23,2024-08-09 11:29,Meituan,18.90,catering
Ex-24,2024-08-07 11:22,Meituan,18.90,null
Ex-25,2024-08-06 19:46,Meituan,18.00,catering
Ex-26,2024-08-06 11:25,Meituan,17.80,catering
Ex-27,2024-08-05 11:24,Meituan,18.50,catering
Ex-28,2024-08-03 17:44,Meituan,21.80,catering
Ex-29,2024-08-02 19:23,Benmu,20.00,living
Ex-30,2024-08-02 19:08,Missa Ice City,15.30,catering
Ex-31,2024-08-02 19:04,Master Bao,41.12,catering
Ex-32,2024-08-02 11:17,Meituan,17.80,shopping
Ex-33,2024-08-02 09:20,Snack,1.00,catering
Ex-34,2024-08-01 20:42,Oily noodles,15.90,catering
Ex-35,2024-08-01 16:40,ICBC,8000.00,income
Ex-36,2024-08-01 12:33,Smart charging platform,1.00,living
Ex-37,2024-08-01 11:32,Meituan,16.80,shopping
